Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
179,1717516601.55,451752.89,19719.73,683.76,55.58,2.26
180,1733478395.76,455951.27,19902.99,690.11,56.09,2.29
181,1748964057.05,460024.42,20080.79,696.28,56.6,2.31
182,1763018080.19,463721,20242.16,701.87,57.05,2.32
183,1777196804.64,467450.39,20404.95,707.51,57.51,2.34
184,1793714087.61,471794.88,20594.59,714.09,58.04,2.36
185,1743705539.79,458641.29,20020.42,694.18,56.43,2.3
186,1756961149.28,462127.87,20172.61,699.46,56.85,2.32
187,1772595804.59,466240.2,20352.12,705.68,57.36,2.34
188,1787572942.7,470179.59,20524.08,711.65,57.84,2.36
189,1802198649.46,474026.54,20692.01,717.47,58.32,2.38
190,1818408227.26,478290.1,20878.12,723.92,58.84,2.4
191,1833714124.1,482315.96,21053.86,730.01,59.34,2.42
192,1780913557.73,468427.99,20447.62,708.99,57.63,2.35
193,1797336909.56,472747.77,20636.19,715.53,58.16,2.37
194,1812153717.47,476644.99,20806.31,721.43,58.64,2.39
195,1826797238.41,480496.63,20974.44,727.26,59.11,2.41
196,1842971187.34,484750.81,21160.14,733.7,59.64,2.43
197,1856715885.75,488366.04,21317.95,739.17,60.08,2.45
198,1871116482.05,492153.78,21483.29,744.9,60.55,2.47
199,1816382232.35,477757.2,20854.86,723.11,58.78,2.39
200,1831310785.58,481683.81,21026.26,729.06,59.26,2.41
201,1846817500.44,485762.5,21204.3,735.23,59.76,2.43
202,1860155704.37,489270.8,21357.45,740.54,60.19,2.45
203,1874927166.02,493156.09,21527.04,746.42,60.67,2.47
204,1890139131.72,497157.25,21701.7,752.48,61.16,2.49
205,1903597178.79,500697.07,21856.22,757.84,61.6,2.51
206,1849656484.31,486509.22,21236.9,736.36,59.85,2.44
207,1863817394.33,490233.92,21399.49,742,60.31,2.46
208,1876219527.29,493496.02,21541.88,746.94,60.71,2.47
209,1889933455.26,497103.15,21699.34,752.4,61.16,2.49
210,1905733299.46,501258.93,21880.75,758.69,61.67,2.51
211,1919129805.39,504782.57,22034.56,764.02,62.1,2.53
212,1932440478.02,508283.63,22187.39,769.32,62.53,2.55
213,1876987170.24,493697.93,21550.7,747.24,60.74,2.47
214,1891428253.86,497496.32,21716.5,752.99,61.21,2.49
215,1903561549.66,500687.7,21855.81,757.82,61.6,2.51
216,1919558973,504895.45,22039.49,764.19,62.12,2.53
217,1933716644.15,508619.3,22202.04,769.83,62.57,2.55
218,1949702730.8,512824.07,22385.58,776.19,63.09,2.57
219,1962741327.4,516253.57,22535.29,781.38,63.51,2.59
220,1907174654.74,501638.04,21897.29,759.26,61.71,2.51
221,1922945348.06,505786.16,22078.37,765.54,62.23,2.53
222,1936256020.42,509287.22,22231.19,770.84,62.66,2.55
223,1950366726,512998.72,22393.21,776.45,63.11,2.57
224,1965568974.83,516997.32,22567.75,782.51,63.6,2.59
225,1980947748.98,521042.35,22744.32,788.63,64.1,2.61
226,1995591270.18,524893.98,22912.45,794.46,64.58,2.63
227,1937758916.58,509682.53,22248.45,771.44,62.7,2.55
228,1951647750.83,513335.66,22407.91,776.96,63.15,2.57
229,1966446743.79,517228.19,22577.83,782.86,63.63,2.59
230,1979930702.87,520774.84,22732.65,788.22,64.07,2.61
231,1992462395.59,524071.01,22876.53,793.21,64.47,2.63
232,2005939876.66,527615.95,23031.27,798.58,64.91,2.64
233,2019822232.65,531267.38,23190.66,804.11,65.36,2.66
234,1959376005.91,515368.4,22496.65,780.04,63.4,2.58
235,1972809760.29,518901.84,22650.89,785.39,63.84,2.6
236,1985590856.16,522263.61,22797.63,790.48,64.25,2.62
237,1998799500.08,525737.83,22949.29,795.74,64.68,2.63
238,2011697199.97,529130.28,23097.37,800.87,65.1,2.65
239,2025885641.56,532862.22,23260.28,806.52,65.56,2.67
240,2038506406.98,536181.82,23405.19,811.54,65.96,2.69
241,1977381609.47,520104.36,22703.38,787.21,63.99,2.61
242,1990667989.4,523599.03,22855.93,792.5,64.42,2.62
243,2004893679.42,527340.77,23019.26,798.16,64.88,2.64
244,2016380794.72,530362.19,23151.15,802.74,65.25,2.66
245,2029955445.55,533932.68,23307.01,808.14,65.69,2.68
246,2044119594.7,537658.23,23469.63,813.78,66.15,2.69
247,2057836761.8,541266.22,23627.13,819.24,66.59,2.71
248,1995171819.7,524783.66,22907.64,794.29,64.56,2.63
249,2009000732.12,528421.03,23066.41,799.8,65.01,2.65
250,2021511371.53,531711.67,23210.06,804.78,65.41,2.66
251,2035157280.36,535300.91,23366.73,810.21,65.86,2.68
252,2048084131.38,538701.01,23515.15,815.36,66.27,2.7
253,2059898385.59,541808.48,23650.8,820.06,66.66,2.72
254,2073398539.54,545359.38,23805.8,825.43,67.09,2.73
255,2011384636.37,529048.06,23093.79,800.75,65.09,2.65
