Ledurrents,rstarPerSecond,ndf_4_4,ndf_3_4,ndf_2_4,ndf_1_4,ndf_5x0_4,ndf_5x0_3
222,2409884447.77,4.29,28.97,539.51,6791.98,57809.1,1207803.32
223,2414361254.18,4.29,29.03,540.51,6804.59,57916.49,1210047.04
224,2418342261.46,4.3,29.07,541.4,6815.81,58011.99,1212042.27
225,2422006813.75,4.31,29.12,542.22,6826.14,58099.9,1213878.89
226,2426117009.29,4.31,29.17,543.14,6837.73,58198.49,1215938.87
227,2429322449.49,4.32,29.21,543.86,6846.76,58275.39,1217545.4
228,2432761159.57,4.33,29.25,544.63,6856.45,58357.88,1219268.84
229,2436613996.56,4.33,29.29,545.49,6867.31,58450.3,1221199.83
230,2439531071.62,4.34,29.33,546.14,6875.53,58520.27,1222661.83
231,2442701241.5,4.34,29.37,546.85,6884.47,58596.32,1224250.68
232,2445497665.32,4.35,29.4,547.48,6892.35,58663.4,1225652.21
233,2449324045.42,4.36,29.45,548.34,6903.13,58755.19,1227569.94
234,2452176519.3,4.36,29.48,548.97,6911.17,58823.62,1228999.57
235,2455061225.68,4.37,29.52,549.62,6919.3,58892.82,1230445.34
236,2459193969.82,4.37,29.57,550.54,6930.95,58991.95,1232516.62
237,2462347948.93,4.38,29.6,551.25,6939.84,59067.61,1234097.36
238,2465542413.12,4.38,29.64,551.97,6948.84,59144.24,1235698.38
239,2469605996.57,4.39,29.69,552.88,6960.3,59241.72,1237735
240,2473300519.35,4.4,29.74,553.7,6970.71,59330.35,1239586.65
241,2476440947.56,4.4,29.77,554.41,6979.56,59405.68,1241160.59
242,2479874431.31,4.41,29.81,555.17,6989.24,59488.04,1242881.41
243,2483600531.34,4.42,29.86,556.01,6999.74,59577.43,1244748.88
244,2486950618.04,4.42,29.9,556.76,7009.18,59657.79,1246427.9
245,2490389695.65,4.43,29.94,557.53,7018.87,59740.29,1248151.52
246,2494790301.85,4.44,29.99,558.51,7031.27,59845.85,1250357.05
247,2498139071.77,4.44,30.03,559.26,7040.71,59926.18,1252035.41
248,2501408791.44,4.45,30.07,560,7049.93,60004.62,1253674.15
249,2505300194.86,4.46,30.12,560.87,7060.9,60097.97,1255624.47
250,2507730639.9,4.46,30.15,561.41,7067.75,60156.27,1256842.58
251,2510468844.06,4.46,30.18,562.02,7075.46,60221.95,1258214.94
252,2513861886.53,4.47,30.22,562.78,7085.03,60303.35,1259915.48
253,2516248008.93,4.47,30.25,563.32,7091.75,60360.59,1261111.38
254,2518188098.15,4.48,30.28,563.75,7097.22,60407.13,1262083.73
255,2520393567.18,4.48,30.3,564.25,7103.43,60460.03,1263189.08
